PosWPow X,PosWeightBranchPow Y,NegWPow X,NegWeightBranchPow Y,WInvPow X,WeightInvertersPow Y,XORPow X,XORPow Y,MUX_POW X,MUX_POW Y
,Upper Branch Power,,Lower Branch Power,,Inverters for weight signals,,Xor gates for sorting,,Multiplexer Power
1,1.33E-05,1,1.50E-05,1,0.000392205,1,0.000356897,1,9.51E-05
2,1.33E-05,2,1.50E-05,2,0.000392206,2,0.000356897,2,9.51E-05
3,1.36E-05,3,1.52E-05,3,0.000392206,3,0.00018419,3,0.000107798
4,1.06E-05,4,1.21E-05,4,0.000392206,4,0.000210698,4,0.00010125
5,1.19E-05,5,1.35E-05,5,0.000392206,5,0.00018419,5,0.000107798
6,1.18E-05,6,1.34E-05,6,0.000392205,6,0.000356897,6,9.51E-05
7,1.30E-05,7,1.45E-05,7,0.000392205,7,0.00018419,7,0.000107798
8,1.32E-05,8,1.47E-05,8,0.000392205,8,0.00018419,8,0.000107798
9,1.33E-05,9,1.48E-05,9,0.000392205,9,0.00018419,9,0.000107798
10,1.31E-05,10,1.48E-05,10,0.000392206,10,0.000356897,10,9.51E-05
11,1.21E-05,11,1.37E-05,11,0.000392206,11,0.000356897,11,9.51E-05
12,1.33E-05,12,1.47E-05,12,0.000392206,12,0.00018419,12,0.000107798
13,1.28E-05,13,1.45E-05,13,0.000392206,13,0.000356897,13,9.51E-05
14,1.41E-05,14,1.55E-05,14,0.000392204,14,0.00018419,14,0.000107798
15,1.23E-05,15,1.39E-05,15,0.000392205,15,0.00018419,15,0.000107798
16,1.04E-05,16,1.20E-05,16,0.000392206,16,0.00018419,16,0.000107798
17,1.29E-05,17,1.46E-05,17,0.000392206,17,0.000356897,17,9.51E-05
18,1.34E-05,18,1.49E-05,18,0.000392205,18,0.00018419,18,0.000107798
19,1.27E-05,19,1.44E-05,19,0.000392206,19,0.000356897,19,9.51E-05
20,1.45E-05,20,1.60E-05,20,0.000392205,20,0.00018419,20,0.000107798
21,1.30E-05,21,1.48E-05,21,0.000392206,21,0.000356897,21,9.51E-05
22,1.32E-05,22,1.48E-05,22,0.000392205,22,0.000356897,22,9.51E-05
23,1.45E-05,23,1.60E-05,23,0.000392205,23,0.00018419,23,0.000107798
24,1.27E-05,24,1.45E-05,24,0.000392205,24,0.000356897,24,9.51E-05
25,1.14E-05,25,1.29E-05,25,0.000392205,25,0.00018419,25,0.000107798
26,1.30E-05,26,1.47E-05,26,0.000392206,26,0.000356897,26,9.51E-05
27,1.16E-05,27,1.32E-05,27,0.000392206,27,0.00018419,27,0.000107798
28,1.30E-05,28,1.47E-05,28,0.000392206,28,0.000356897,28,9.51E-05
29,1.17E-05,29,1.34E-05,29,0.000392206,29,0.000356897,29,9.51E-05
30,1.10E-05,30,1.25E-05,30,0.000392206,30,0.00018419,30,0.000107798
31,1.21E-05,31,1.36E-05,31,0.000392205,31,0.00018419,31,0.000107798
32,1.34E-05,32,1.48E-05,32,0.000392205,32,0.00018419,32,0.000107798
33,1.22E-05,33,1.39E-05,33,0.000392206,33,0.000356897,33,9.51E-05
34,1.14E-05,34,1.30E-05,34,0.000392206,34,0.000356897,34,9.51E-05
35,1.31E-05,35,1.47E-05,35,0.000392205,35,0.000356897,35,9.51E-05
36,1.21E-05,36,1.37E-05,36,0.000392206,36,0.000356897,36,9.51E-05
37,1.14E-05,37,1.29E-05,37,0.000392206,37,0.00018419,37,0.000107798
38,1.41E-05,38,1.56E-05,38,0.000392205,38,0.00018419,38,0.000107798
39,1.38E-05,39,1.53E-05,39,0.000392205,39,0.00018419,39,0.000107798
40,1.32E-05,40,1.48E-05,40,0.000392205,40,0.000356897,40,9.51E-05
41,1.27E-05,41,1.42E-05,41,0.000392206,41,0.00018419,41,0.000107798
42,1.27E-05,42,1.43E-05,42,0.000392205,42,0.000356897,42,9.51E-05
43,1.18E-05,43,1.35E-05,43,0.000392206,43,0.000356897,43,9.51E-05
44,1.40E-05,44,1.54E-05,44,0.000392205,44,0.00018419,44,0.000107798
45,1.28E-05,45,1.42E-05,45,0.000392205,45,0.00018419,45,0.000107798
46,1.35E-05,46,1.49E-05,46,0.000392205,46,0.00018419,46,0.000107798
47,1.10E-05,47,1.26E-05,47,0.000392206,47,0.000356897,47,9.51E-05
48,1.29E-05,48,1.45E-05,48,0.000392206,48,0.00018419,48,0.000107798
49,1.34E-05,49,1.50E-05,49,0.000392206,49,0.000356897,49,9.51E-05
50,1.12E-05,50,1.28E-05,50,0.000392206,50,0.00018419,50,0.000107798
PosWPow X,PosWeightBranchPow Y,NegWPow X,NegWeightBranchPow Y,WInvPow X,WeightInvertersPow Y,XORPow X,XORPow Y,MUX_POW X,MUX_POW Y
,1.27E-05,,1.43E-05,,3.92E-04,,2.64E-04,,1.02E-04
,,,,,,,,,
,12.7uW,,14.3uW,,329uW,,264uW,,102uW
,,,,,,,,,
,,,,,,,,,
Analogue Power,2.70E-05,,,,,,,,
Digital Power,7.58E-04,,,,,,,,
,,,,,,,,,
Total Power,7.85E-04,,,,,,,,
,,,,,,,,,
