VDDPow_Branches X,VDDPow_Branches Y,WInvPow X,WInvPow Y,CompPow X,CompPow Y,InputTinCurrent X,InputTinCurrent Y
1,8.315152199638915e-06,1,0.0001305200137413831,1,5.205517998581877e-05,1,2.97745699116369e-06
2,8.25340572467174e-06,2,0.0001305199847485806,2,5.218088143336069e-05,2,2.86538242403893e-06
3,8.32660750191155e-06,3,0.0001305199423541343,3,5.196849121354234e-05,3,3.089760260814684e-06
4,7.779451107660649e-06,4,0.0001305199212566184,4,5.198491300458674e-05,4,1.732155409016899e-06
5,7.626731788915167e-06,5,0.0001305199366406727,5,5.200206027843191e-05,5,1.680166688558903e-06
6,7.826650072121004e-06,6,0.0001305200172907125,6,5.201161978539054e-05,6,2.051279049595937e-06
7,7.904830383898647e-06,7,0.0001305200179964555,7,5.198111595115608e-05,7,2.162648924588456e-06
8,8.170311845348208e-06,8,0.0001305201470983873,8,5.194857737420868e-05,8,2.750623316788435e-06
9,8.181968514526394e-06,9,0.000130519977452802,9,5.194739993981088e-05,9,2.778397336274773e-06
10,8.238634484134053e-06,10,0.0001305199820915706,10,5.194194174710375e-05,10,2.890391706316177e-06
11,8.199909901803443e-06,11,0.000130519956691078,11,5.223805198970047e-05,11,2.752863569841025e-06
12,7.989453062569231e-06,12,0.0001305201222466601,12,5.202192974226095e-05,12,2.277030663113623e-06
13,8.138366048770404e-06,13,0.0001305200205142219,13,5.199786173248682e-05,13,2.726042801392828e-06
14,8.187192095115569e-06,14,0.0001305199964273019,14,5.201586854315346e-05,14,2.724790253008166e-06
15,8.229556060179973e-06,15,0.0001305199953974201,15,5.20125247790376e-05,15,2.865837045537642e-06
16,8.313214024706252e-06,16,0.0001305201518898498,16,5.19346077249067e-05,16,2.974882165209944e-06
17,7.837408630638605e-06,17,0.0001305200096866601,17,5.19795918373723e-05,17,2.131869889141542e-06
18,7.435703596621431e-06,18,0.0001305199258498411,18,5.201528614646093e-05,18,1.173860926615483e-06
19,8.2248294494676e-06,19,0.0001305200766727072,19,5.208222652433347e-05,19,2.697923008391695e-06
20,8.216397686883511e-06,20,0.0001305199780786762,20,5.194405407909121e-05,20,2.861129992137265e-06
21,8.187304778642412e-06,21,0.0001305199760218874,21,5.196249453137217e-05,21,2.666221646299955e-06
22,8.396896896688907e-06,22,0.0001305199884264688,22,5.198094703747334e-05,22,3.314598084371367e-06
23,8.390404530724073e-06,23,0.0001305199677260662,23,5.200207766506123e-05,23,3.090290252397676e-06
24,8.167398726340571e-06,24,0.0001305200011657347,24,5.215975350756301e-05,24,2.696834723948862e-06
25,8.325454400386986e-06,25,0.0001305199805101313,25,5.196845222233084e-05,25,3.032677969362954e-06
26,8.536786420240946e-06,26,0.0001305199441943834,26,5.193785255620275e-05,26,3.482034187904163e-06
27,8.136625385973398e-06,27,0.0001305200219023722,27,5.227246270898754e-05,27,2.556852767433043e-06
28,7.626292481186925e-06,28,0.0001305199448383463,28,5.199868989752549e-05,28,1.626877418023593e-06
29,8.210349102002498e-06,29,0.0001305200019111733,29,5.222453212779358e-05,29,2.753341781301305e-06
30,7.799468610261083e-06,30,0.0001305199272973597,30,5.200707808504066e-05,30,1.882114063107804e-06
31,8.059818691892559e-06,31,0.0001305200043236609,31,5.197289699676035e-05,31,2.555840974871499e-06
32,7.993337331574535e-06,32,0.0001305201033755315,32,5.228252483833553e-05,32,2.249314526734696e-06
33,7.741249458627801e-06,33,0.0001305200543495238,33,5.19733115110692e-05,33,1.828466452008208e-06
34,7.642676407901147e-06,34,0.0001305199880086428,34,5.199723352071344e-05,34,1.676213707903123e-06
35,7.888187981829291e-06,35,0.00013051999783752,35,5.197494226041697e-05,35,2.187581137606801e-06
36,8.236290632110104e-06,36,0.0001305199839179002,36,5.19421208283959e-05,36,2.89063601642727e-06
37,7.960704759814931e-06,37,0.0001305200371021514,37,5.21944537937053e-05,37,2.248589624025486e-06
38,7.733632297984254e-06,38,0.0001305200259714493,38,5.196398543133813e-05,38,1.798982955137913e-06
39,8.0937499556569e-06,39,0.0001305200389280597,39,5.220918417565805e-05,39,2.557428920816942e-06
40,8.081832108228224e-06,40,0.0001305200661295874,40,5.236791408031209e-05,40,2.389014812690266e-06
41,7.863412492341392e-06,41,0.0001305199381577886,41,5.199935818874958e-05,41,2.02168096897004e-06
42,7.901205829818077e-06,42,0.0001305199505840351,42,5.197375871335562e-05,42,2.300000034260223e-06
43,8.468842886795045e-06,43,0.0001305201373837449,43,5.191926883260651e-05,43,3.340213809339037e-06
44,8.392075681880762e-06,44,0.0001305199637207269,44,5.195186685661659e-05,44,3.145282284349265e-06
45,8.261026452697462e-06,45,0.0001305200039411223,45,5.215182825212192e-05,45,2.838021605268837e-06
46,8.049095306235303e-06,46,0.0001305199763173153,46,5.196015172349442e-05,46,2.495709813535075e-06
47,8.101052003742244e-06,47,0.0001305199590921294,47,5.240262962121417e-05,47,2.556305838811369e-06
48,7.889061863366111e-06,48,0.0001305200976273633,48,5.197109946229859e-05,48,2.108532616947081e-06
49,8.169063851269947e-06,49,0.0001305200104264165,49,5.198176003084752e-05,49,2.892877580858565e-06
50,8.246143312586213e-06,50,0.0001305199760544048,50,5.19411731741779e-05,50,2.833637540094334e-06
