VOUT ,leafValue( IS("/IPMOS/IOUT") "factor" 1.083 ) (A),leafValue( IS("/INMOS/IOUT") "factor" 1.083 ) (A)
450.0E-3,-1.068E-6,944.6E-9
468.0E-3,-1.066E-6,947.3E-9
486.0E-3,-1.064E-6,949.8E-9
504.0E-3,-1.062E-6,952.3E-9
522.0E-3,-1.059E-6,954.8E-9
540.0E-3,-1.057E-6,957.3E-9
558.0E-3,-1.055E-6,959.6E-9
576.0E-3,-1.053E-6,962.0E-9
594.0E-3,-1.050E-6,964.3E-9
612.0E-3,-1.048E-6,966.6E-9
630.0E-3,-1.046E-6,968.9E-9
648.0E-3,-1.044E-6,971.1E-9
666.0E-3,-1.041E-6,973.3E-9
684.0E-3,-1.039E-6,975.5E-9
702.0E-3,-1.037E-6,977.7E-9
720.0E-3,-1.035E-6,979.8E-9
738.0E-3,-1.032E-6,981.9E-9
756.0E-3,-1.030E-6,984.0E-9
774.0E-3,-1.028E-6,986.1E-9
792.0E-3,-1.025E-6,988.1E-9
810.0E-3,-1.023E-6,990.2E-9
828.0E-3,-1.021E-6,992.2E-9
846.0E-3,-1.018E-6,994.2E-9
864.0E-3,-1.016E-6,996.2E-9
882.0E-3,-1.014E-6,998.1E-9
900.0E-3,-1.011E-6,1.000E-6
918.0E-3,-1.009E-6,1.002E-6
936.0E-3,-1.007E-6,1.004E-6
954.0E-3,-1.004E-6,1.006E-6
972.0E-3,-1.002E-6,1.008E-6
990.0E-3,-999.6E-9,1.010E-6
1.008,-997.2E-9,1.011E-6
1.026,-994.8E-9,1.013E-6
1.044,-992.3E-9,1.015E-6
1.062,-989.9E-9,1.017E-6
1.080,-987.5E-9,1.019E-6
1.098,-985.0E-9,1.021E-6
1.116,-982.6E-9,1.022E-6
1.134,-980.1E-9,1.024E-6
1.152,-977.6E-9,1.026E-6
1.170,-975.1E-9,1.028E-6
1.188,-972.6E-9,1.030E-6
1.206,-970.0E-9,1.031E-6
1.224,-967.5E-9,1.033E-6
1.242,-964.9E-9,1.035E-6
1.260,-962.3E-9,1.037E-6
1.278,-959.7E-9,1.038E-6
1.296,-957.1E-9,1.040E-6
1.314,-954.5E-9,1.042E-6
1.332,-951.8E-9,1.043E-6
1.350,-949.1E-9,1.045E-6
