VOUT ,leafValue( IS("/M6/D") "factor" 1.083 ) (A),leafValue( IS("/M3/D") "factor" 1.083 ) (A)
891.0E-3,-999.8E-9,999.9E-9
891.4E-3,-999.8E-9,999.9E-9
891.7E-3,-999.8E-9,999.9E-9
892.1E-3,-999.8E-9,999.9E-9
892.4E-3,-999.8E-9,999.9E-9
892.8E-3,-999.8E-9,999.9E-9
893.2E-3,-999.8E-9,999.9E-9
893.5E-3,-999.8E-9,999.9E-9
893.9E-3,-999.8E-9,999.9E-9
894.2E-3,-999.8E-9,999.9E-9
894.6E-3,-999.8E-9,999.9E-9
895.0E-3,-999.8E-9,999.9E-9
895.3E-3,-999.8E-9,999.9E-9
895.7E-3,-999.8E-9,999.9E-9
896.0E-3,-999.8E-9,999.9E-9
896.4E-3,-999.8E-9,999.9E-9
896.8E-3,-999.8E-9,999.9E-9
897.1E-3,-999.8E-9,999.9E-9
897.5E-3,-999.8E-9,999.9E-9
897.8E-3,-999.8E-9,999.9E-9
898.2E-3,-999.8E-9,999.9E-9
898.6E-3,-999.8E-9,999.9E-9
898.9E-3,-999.8E-9,999.9E-9
899.3E-3,-999.8E-9,999.9E-9
899.6E-3,-999.8E-9,999.9E-9
900.0E-3,-999.8E-9,999.9E-9
900.4E-3,-999.8E-9,999.9E-9
900.7E-3,-999.8E-9,999.9E-9
901.1E-3,-999.8E-9,999.9E-9
901.4E-3,-999.8E-9,999.9E-9
901.8E-3,-999.8E-9,999.9E-9
902.2E-3,-999.8E-9,999.9E-9
902.5E-3,-999.8E-9,999.9E-9
902.9E-3,-999.8E-9,999.9E-9
903.2E-3,-999.8E-9,999.9E-9
903.6E-3,-999.8E-9,999.9E-9
904.0E-3,-999.8E-9,999.9E-9
904.3E-3,-999.8E-9,999.9E-9
904.7E-3,-999.8E-9,999.9E-9
905.0E-3,-999.8E-9,999.9E-9
905.4E-3,-999.8E-9,999.9E-9
905.8E-3,-999.8E-9,999.9E-9
906.1E-3,-999.8E-9,999.9E-9
906.5E-3,-999.8E-9,999.9E-9
906.8E-3,-999.8E-9,999.9E-9
907.2E-3,-999.8E-9,999.9E-9
907.6E-3,-999.8E-9,999.9E-9
907.9E-3,-999.8E-9,999.9E-9
908.3E-3,-999.8E-9,999.9E-9
908.6E-3,-999.8E-9,999.9E-9
909.0E-3,-999.8E-9,999.9E-9
