factor ,leafValue( IS("/I82/IOUT") "factor" 1 ) (A)
1.000,1.077E-6
1.002,1.075E-6
1.004,1.073E-6
1.006,1.070E-6
1.008,1.068E-6
1.010,1.066E-6
1.012,1.064E-6
1.014,1.062E-6
1.016,1.060E-6
1.018,1.058E-6
1.020,1.056E-6
1.022,1.054E-6
1.024,1.052E-6
1.026,1.050E-6
1.028,1.048E-6
1.030,1.046E-6
1.032,1.044E-6
1.034,1.042E-6
1.036,1.040E-6
1.038,1.038E-6
1.040,1.036E-6
1.042,1.034E-6
1.044,1.032E-6
1.046,1.030E-6
1.048,1.028E-6
1.050,1.026E-6
1.052,1.024E-6
1.054,1.022E-6
1.056,1.020E-6
1.058,1.018E-6
1.060,1.016E-6
1.062,1.014E-6
1.064,1.013E-6
1.066,1.011E-6
1.068,1.009E-6
1.070,1.007E-6
1.072,1.005E-6
1.074,1.003E-6
1.076,1.001E-6
1.078,999.5E-9
1.080,997.7E-9
1.082,995.9E-9
1.084,994.0E-9
1.086,992.2E-9
1.088,990.4E-9
1.090,988.6E-9
1.092,986.8E-9
1.094,985.0E-9
1.096,983.2E-9
1.098,981.5E-9
1.100,979.7E-9
