VOUT ,leafValue( IS("/I82/IOUT") "VOUT" 0.9 ) (A)
0.000,-40.79E-12
36.00E-3,784.2E-9
72.00E-3,915.2E-9
108.0E-3,939.5E-9
144.0E-3,953.0E-9
180.0E-3,963.7E-9
216.0E-3,972.8E-9
252.0E-3,981.0E-9
288.0E-3,988.6E-9
324.0E-3,995.6E-9
360.0E-3,1.002E-6
396.0E-3,1.008E-6
432.0E-3,1.014E-6
468.0E-3,1.020E-6
504.0E-3,1.025E-6
540.0E-3,1.031E-6
576.0E-3,1.036E-6
612.0E-3,1.041E-6
648.0E-3,1.046E-6
684.0E-3,1.050E-6
720.0E-3,1.055E-6
756.0E-3,1.060E-6
792.0E-3,1.064E-6
828.0E-3,1.068E-6
864.0E-3,1.073E-6
900.0E-3,1.077E-6
936.0E-3,1.081E-6
972.0E-3,1.085E-6
1.008,1.089E-6
1.044,1.093E-6
1.080,1.097E-6
1.116,1.101E-6
1.152,1.105E-6
1.188,1.109E-6
1.224,1.112E-6
1.260,1.116E-6
1.296,1.120E-6
1.332,1.123E-6
1.368,1.127E-6
1.404,1.131E-6
1.440,1.134E-6
1.476,1.138E-6
1.512,1.141E-6
1.548,1.145E-6
1.584,1.149E-6
1.620,1.152E-6
1.656,1.155E-6
1.692,1.159E-6
1.728,1.162E-6
1.764,1.166E-6
1.800,1.169E-6
