VOUT ,leafValue( IS("/I82/IOUT") "factor" 1.078 ) (A)
0.000,-40.79E-12
36.00E-3,732.0E-9
72.00E-3,853.6E-9
108.0E-3,876.2E-9
144.0E-3,888.8E-9
180.0E-3,898.7E-9
216.0E-3,907.3E-9
252.0E-3,915.0E-9
288.0E-3,922.0E-9
324.0E-3,928.5E-9
360.0E-3,934.7E-9
396.0E-3,940.5E-9
432.0E-3,946.0E-9
468.0E-3,951.3E-9
504.0E-3,956.4E-9
540.0E-3,961.4E-9
576.0E-3,966.1E-9
612.0E-3,970.8E-9
648.0E-3,975.3E-9
684.0E-3,979.7E-9
720.0E-3,984.0E-9
756.0E-3,988.2E-9
792.0E-3,992.4E-9
828.0E-3,996.4E-9
864.0E-3,1.000E-6
900.0E-3,1.004E-6
936.0E-3,1.008E-6
972.0E-3,1.012E-6
1.008,1.016E-6
1.044,1.020E-6
1.080,1.023E-6
1.116,1.027E-6
1.152,1.030E-6
1.188,1.034E-6
1.224,1.038E-6
1.260,1.041E-6
1.296,1.045E-6
1.332,1.048E-6
1.368,1.051E-6
1.404,1.055E-6
1.440,1.058E-6
1.476,1.061E-6
1.512,1.065E-6
1.548,1.068E-6
1.584,1.071E-6
1.620,1.075E-6
1.656,1.078E-6
1.692,1.081E-6
1.728,1.084E-6
1.764,1.088E-6
1.800,1.091E-6
