VOUT ,leafValue( IS("/I82/IOUT") "factor" 1.075 ) (A)
0.000,-1.129E-6
36.00E-3,-1.125E-6
72.00E-3,-1.120E-6
108.0E-3,-1.116E-6
144.0E-3,-1.112E-6
180.0E-3,-1.107E-6
216.0E-3,-1.103E-6
252.0E-3,-1.099E-6
288.0E-3,-1.094E-6
324.0E-3,-1.090E-6
360.0E-3,-1.085E-6
396.0E-3,-1.081E-6
432.0E-3,-1.077E-6
468.0E-3,-1.072E-6
504.0E-3,-1.068E-6
540.0E-3,-1.063E-6
576.0E-3,-1.059E-6
612.0E-3,-1.054E-6
648.0E-3,-1.050E-6
684.0E-3,-1.045E-6
720.0E-3,-1.041E-6
756.0E-3,-1.036E-6
792.0E-3,-1.031E-6
828.0E-3,-1.027E-6
864.0E-3,-1.022E-6
900.0E-3,-1.017E-6
936.0E-3,-1.013E-6
972.0E-3,-1.008E-6
1.008,-1.003E-6
1.044,-998.1E-9
1.080,-993.2E-9
1.116,-988.3E-9
1.152,-983.3E-9
1.188,-978.3E-9
1.224,-973.2E-9
1.260,-968.0E-9
1.296,-962.7E-9
1.332,-957.4E-9
1.368,-951.9E-9
1.404,-946.4E-9
1.440,-940.7E-9
1.476,-934.9E-9
1.512,-929.0E-9
1.548,-922.8E-9
1.584,-916.3E-9
1.620,-909.5E-9
1.656,-901.9E-9
1.692,-892.5E-9
1.728,-874.1E-9
1.764,-752.4E-9
1.800,96.97E-12
